word,positive,negative
birthday,358,13
to,925,770
i,2288,2262
you,567,444
the,880,838
and,629,548
a,2369,2285
so,720,818
for,402,300
of,517,358
my,297,317
im,442,612
be,672,569
is,852,937
me,799,738
it,937,869
in,1341,1256
that,276,365
day,637,133
have,276,174
your,163,122
are,246,242
this,231,333
with,220,126
all,405,398
we,425,330
but,199,276
love,161,144
like,164,167
just,183,202
if,252,226
was,217,157
its,215,237
on,1011,995
not,160,242
our,273,185
hope,65,71
monday,59,3
make,162,108
one,234,233
can,133,194
am,520,390
u,2063,1841
he,1175,1141
really,74,110
what,84,112
at,904,882
will,83,68
when,83,105
always,56,38
as,655,535
great,57,20
makes,47,55
how,100,130
people,90,87
do,423,436
best,51,28
they,96,142
good,82,59
out,172,206
more,91,61
time,106,97
from,61,49
know,67,91
life,45,38
never,51,52
see,101,111
dont,50,81
bday,29,0
much,105,80
wish,48,20
up,176,167
first,53,23
too,65,87
her,284,283
very,137,129
or,826,753
no,440,610
thank,73,46
new,90,62
about,67,88
being,49,59
were,48,30
want,58,97
would,66,43
today,52,38
now,125,171
anniversary,25,1
back,52,46
some,156,129
an,1247,1190
had,80,56
everyone,43,24
him,41,69
get,127,140
us,494,537
don't,42,44
youre,33,31
them,50,62
many,33,29
made,44,35
think,75,59
because,47,58
man,134,126
here,128,152
-,122,83
been,51,47
feel,40,117
has,60,55
year,58,38
there,58,67
stay,22,15
beautiful,17,21
got,47,64
also,44,33
help,22,23
week,35,27
go,355,345
who,61,86
thanks,30,3
only,37,55
most,43,30
need,43,61
why,53,81
guys,36,16
healthy,15,3
kobe,19,10
could,31,48
she,74,87
going,39,38
4th,19,0
@bts_twt,49,30
still,33,61
even,48,65
care,33,36
baby,21,36
getting,19,21
nice,31,11
__,37,34
3,298,206
you're,21,15
look,64,46
let,55,51
big,42,21
well,44,42
matheus,10,0
little,33,34
world,19,31
yall,19,21
someone,25,37
wanna,23,34
god,24,24
ill,214,193
his,269,380
school,32,9
keep,29,19
enjoy,38,6
friends,29,23
having,66,19
years,31,19
ever,185,153
safe,24,11
dowoon,22,0
hard,26,20
thing,112,144
say,47,40
days,27,22
congrats,16,3
home,23,22
dream,33,27
proud,11,9
by,93,99
both,14,11
&lt,16,27
live,39,40
s,2207,2293
thats,20,51
before,11,11
try,44,45
drum,18,0
which,20,17
after,22,27
things,22,24
way,112,112
amazing,17,6
happy_dowoon_day,10,0
heart,18,30
again,25,28
shit,34,35
their,30,49
yes,44,36
actually,16,32
cant,24,61
TRUE,0,0
@realdonaldtrump,7,24
same,22,50
feeling,10,30
lol,23,31
take,27,47
these,22,19
can't,11,26
such,14,19
should,29,34
last,22,32
kinda,3,26
trump,17,48
those,18,22
making,46,26
nothing,15,29
t,2303,2246
gonna,27,36
that's,19,24
watch,61,41
yeah,22,31
said,16,26
person,21,28
stop,14,27
hear,37,54
2,373,257
@jeffreestar,2,15
does,28,50
did,50,82
down,19,32
bad,29,42
already,9,30
oh,68,72
than,105,63
@sad_istfied,0,15
then,36,33
used,17,24
right,27,27
come,44,57
must,6,18
lot,59,26
family,24,15
funny,11,16
something,20,28
hes,61,77
whole,9,20
cry,14,44
sorry,7,83
where,26,32
understand,7,24
lost,7,17
honestly,10,12
other,60,51
song,15,18
fucking,10,16
doesn't,10,17
any,112,96
hate,26,41
without,6,12
r,2171,2015
call,43,41
pretty,18,24
ok,156,197
fact,40,13
@dream__fanart,0,12
friend,53,40
over,44,46
b,1777,1472
off,59,56
bc,36,55
didn't,12,22
game,91,22
kind,17,41
into,21,17
cause,53,76
literally,15,14
didnt,13,25
remember,15,22
looks,22,12
kids,8,8
another,14,14
times,28,32
done,15,17
crying,3,20
find,10,25
theyre,7,14
reality,1,10
happened,4,20
trying,11,16
while,14,10
girl,27,25
poor,0,15
doing,21,29
news,16,24
seeing,17,14
miss,30,105
ass,74,40
since,14,22
cute,19,26
use,107,139
&gt,8,66
@lilpapivoni,0,1
ive,161,142
please,11,27
pls,5,22
ur,474,365
better,21,31
stream,24,14
okay,7,26
talk,29,37
walls,1,3
idk,14,21
wanted,9,18
deserve,11,26
soon,5,17
:-(,0,17
omg,17,18
sure,20,18
anything,13,16
i'll,9,12
though,31,40
sucks,1,12
missed,6,13
upset,1,12
thought,20,20
maybe,9,11
ily,39,41
:),18,16
twitter,16,11
show,30,28
hey,111,157
hurt,4,20
sweet,11,14
harry,4,14
wait,14,20
account,9,12
work,57,42
mine,7,13
post,9,37
eat,116,91
yet,8,19
w,1676,1546
rn,125,112
mean,22,25
expensive,1,10
once,25,20
believe,10,14
late,28,33
sleep,12,25
play,85,24
games,31,2
sounds,25,6
super,28,15
fact:,17,0
playing,23,6
join,25,4
video,23,10
start,40,31
mv,30,13
around,19,11
seems,17,6
check,21,2
bit,33,36
read,55,64
loved,22,5
b-side,13,0
real,119,172
until,14,15
side,54,31
follow,25,17
hobi,12,6
point,11,19
old,47,47
give,22,35
stuff,12,9
night,38,24
full,31,15
movie,12,11
every,89,61
guy,52,29
almost,12,7
far,21,18
own,65,57
saw,19,8
i've,10,13
lots,16,2
watching,14,8
5,261,166
anyone,11,10
looking,13,11
using,11,8
draw,14,8
dude,13,8
yesterday,8,3
