word,frequency
happy,1338.0
birthday,450.0
to,450.0
i,438.0
you,412.0
the,356.0
and,305.0
a,283.0
so,235.0
for,208.0
of,188.0
my,183.0
im,181.0
be,165.0
is,161.0
me,135.0
it,130.0
in,123.0
that,117.0
day,114.0
have,105.0
your,105.0
are,105.0
this,102.0
with,101.0
all,91.0
we,84.0
but,81.0
love,76.0
like,69.0
just,68.0
if,68.0
was,66.0
its,60.0
on,59.0
not,58.0
our,58.0
hope,52.0
monday,51.0
make,50.0
one,46.0
can,46.0
am,46.0
u,46.0
he,45.0
really,43.0
what,43.0
at,43.0
will,42.0
when,41.0
always,40.0
as,40.0
great,39.0
makes,39.0
how,38.0
people,38.0
do,38.0
best,38.0
they,36.0
good,36.0
out,35.0
more,34.0
time,34.0
from,34.0
know,34.0
life,33.0
never,32.0
see,32.0
dont,32.0
bday,32.0
much,31.0
wish,31.0
up,30.0
first,30.0
too,29.0
her,29.0
very,29.0
or,29.0
no,29.0
thank,29.0
new,28.0
about,28.0
being,28.0
were,28.0
want,28.0
would,27.0
today,27.0
now,27.0
anniversary,27.0
back,27.0
some,26.0
an,25.0
had,25.0
everyone,25.0
him,25.0
get,24.0
us,24.0
don't,24.0
youre,24.0
them,23.0
many,22.0
made,22.0
think,22.0
because,21.0
man,21.0
here,21.0
-,21.0
been,21.0
feel,20.0
has,20.0
year,20.0
there,19.0
stay,19.0
beautiful,19.0
got,19.0
also,19.0
help,19.0
week,18.0
go,18.0
who,18.0
thanks,18.0
only,18.0
most,18.0
need,18.0
why,18.0
guys,17.0
healthy,17.0
kobe,17.0
could,17.0
she,16.0
going,16.0
4th,16.0
@bts_twt,16.0
still,16.0
even,16.0
care,16.0
baby,16.0
getting,15.0
nice,15.0
__,15.0
3,15.0
you're,15.0
look,15.0
let,14.0
big,14.0
well,14.0
matheus,14.0
little,14.0
world,14.0
yall,14.0
someone,14.0
wanna,14.0
god,14.0
ill,14.0
his,14.0
school,13.0
keep,13.0
enjoy,13.0
friends,13.0
having,13.0
years,13.0
ever,13.0
safe,13.0
dowoon,13.0
hard,13.0
thing,12.0
say,12.0
days,12.0
congrats,12.0
home,12.0
dream,12.0
proud,12.0
by,12.0
both,12.0
&lt,12.0
live,12.0
s,12.0
thats,11.0
before,11.0
try,11.0
drum,11.0
which,11.0
after,11.0
things,11.0
way,11.0
amazing,11.0
happy_dowoon_day,11.0
heart,11.0
again,11.0
shit,11.0
sad,1246.0
their,42.0
yes,37.0
actually,32.0
cant,30.0
TRUE,25.0
@realdonaldtrump,24.0
same,24.0
feeling,22.0
lol,22.0
take,22.0
these,22.0
can't,22.0
such,21.0
should,21.0
last,21.0
kinda,20.0
trump,20.0
those,20.0
making,20.0
nothing,20.0
t,20.0
gonna,20.0
that's,19.0
watch,19.0
yeah,19.0
said,18.0
person,18.0
stop,18.0
hear,18.0
2,18.0
@jeffreestar,18.0
does,18.0
did,18.0
down,17.0
bad,17.0
already,17.0
oh,17.0
than,17.0
@sad_istfied,16.0
then,16.0
used,16.0
right,16.0
come,16.0
must,15.0
lot,15.0
family,15.0
funny,15.0
something,15.0
hes,15.0
whole,14.0
cry,14.0
sorry,14.0
where,14.0
understand,14.0
lost,14.0
honestly,14.0
other,13.0
song,13.0
fucking,13.0
doesn't,13.0
any,13.0
hate,13.0
without,13.0
r,13.0
call,13.0
pretty,13.0
ok,13.0
fact,13.0
@dream__fanart,13.0
friend,13.0
over,13.0
b,12.0
off,12.0
bc,12.0
didn't,12.0
game,12.0
kind,12.0
into,12.0
cause,12.0
literally,12.0
didnt,12.0
remember,12.0
looks,12.0
kids,12.0
another,12.0
times,12.0
done,12.0
crying,12.0
find,12.0
theyre,11.0
reality,11.0
happened,11.0
trying,11.0
while,11.0
girl,11.0
poor,11.0
doing,11.0
news,11.0
fun,11.0
seeing,11.0
miss,11.0
ass,11.0
since,11.0
cute,11.0
use,11.0
&gt,82.0
@lilpapivoni,40.0
ive,29.0
please,28.0
pls,27.0
ur,26.0
better,26.0
stream,22.0
okay,21.0
talk,21.0
walls,21.0
idk,20.0
wanted,19.0
deserve,18.0
soon,17.0
:-(,17.0
omg,16.0
sure,16.0
anything,16.0
i'll,15.0
though,14.0
sucks,14.0
missed,14.0
upset,14.0
thought,14.0
maybe,13.0
ily,13.0
:),13.0
twitter,13.0
show,13.0
hey,13.0
hurt,13.0
sweet,13.0
harry,12.0
wait,12.0
account,12.0
work,12.0
mine,12.0
post,12.0
eat,12.0
yet,12.0
w,11.0
rn,11.0
mean,11.0
expensive,11.0
once,11.0
believe,11.0
late,11.0
sleep,11.0
play,35.0
games,33.0
sounds,27.0
super,25.0
fact:,23.0
playing,23.0
join,21.0
video,19.0
start,18.0
mv,17.0
around,17.0
seems,17.0
check,17.0
bit,16.0
read,16.0
loved,16.0
b-side,15.0
real,15.0
until,15.0
side,14.0
follow,14.0
hobi,13.0
point,13.0
old,13.0
give,13.0
stuff,13.0
night,12.0
full,12.0
movie,12.0
every,12.0
guy,12.0
almost,12.0
far,12.0
own,12.0
saw,12.0
i've,12.0
lots,12.0
watching,11.0
5,11.0
anyone,11.0
looking,11.0
using,11.0
draw,11.0
dude,11.0
yesterday,11.0
